哦	o2，真不走运。	Oh, that's tough luck.
离奇	有一个li2qi2的故事一直流传着。	A strange story has been going round.
墨镜	她乔装打扮戴著金色假发和mo4jing4.	She disguised herself with a blonde wig and dark glasses.
变为	表否定的将一个词的意义由肯定bian4wei2否定的	Altering the meaning of a term from positive to negative.
存放	地下室里有地方cun2fang4不用的家具之类的东西.	There's room in the cellar to store unused furniture and what have you.
积雪	去年冬天，地上ji1xue3很厚。	Last winter the snow lay thick on the ground.
言行	由于他是牧师，yan2xing2须顾虑到自己的身份。	As he is a parson, he has to respect the cloth.
骑兵	qi2bing1猛烈向前线冲击。	The cavalry charged to the front.
开幕	交易会将于5月19日kai1mu4。	The fair was to open on May19.
租金	zu1jin1贵是贵, （但）房子倒很好.	The rent is high, (but) otherwise the house is fine.
进取	如果我们要克服困难，我们就要有jin4qu3精神。	We need a spirit of enterprise if we are to overcome our difficulties.
捐献	零星共同凑集的一笔钱一笔钱，尤其指很多人为了设计的目的juan1xian4的钱	A pool of money, especially one to which a number of people have contributed for a designated purpose.
排球	pai2qiu2是我很喜欢的运动。	Volleyball is a sport of which I am very fond.
牢牢	那船lao2lao2地搁浅在沙洲上.	The ship stuck fast on the bar.
手提包	我的shou3ti2bao1的扣坏了.	The catch on my handbag is broken.
抑或	至于动力方式是采用“蒸气式”yi4huo4“柴油式”，我想贵公司将交由我方全权处理吧？	And the propulsion method whether steam or diesel, you'll leave to us, I suppose?
遗体	他的yi2ti3埋葬在教堂的墓地里.	His mortal remains are buried in the churchyard.
凡人	对於我们fan2ren2来说，生活依旧。	Life goes on for those of us who remain here below.
撞车	这是一次严重的zhuang4che1事故，但幸好无人死亡。	It was a bad crash, but fortunately there were no fatalities.
高温	热解化用，gao1wen1分解由于热量而导致的化合物的分解或转化	Decomposition or transformation of a compound caused by heat.
妇人	她是个很好的fu4ren2，冷酷不是她的本性。	She's a very good woman; unkindness is foreign to her nature.
电报	别忘了一到就给我们打个dian4bao4.	Don't forget to cable us as soon as you arrive.
通报	即使要tong1bao4紧急请求，不经允许闯到国王面前也是危险的。	It is dangerous to intrude into the King's presence without permission, even to make an urgent request.
计程车	她很热心, 为我打电话叫了ji4cheng2che1.	She was so kind as to phone for a taxi for me.
天主教	她一出生就受到tian1zhu3jiao4的熏陶.	She was born and bred a Catholic.
甜点	瓜形tian2dian3一种用两层或多层各种风味的冰淇淋做成的球形或瓜形的tian2dian3	A dessert consisting of two or more layers of variously flavored ice cream frozen in a round or melon-shaped mold.
外貌	她和她姐姐wai4mao4相似，但性格不同。	She resembles her sister in appearance but not in character.
回信	简给他写了封长信，然而他一直没有hui2xin4。	Jane wrote him a long letter, but he never wrote back.
金鱼	他在jin1yu2缸周围贴上了彩色风景明信片，好让jin1yu2们以为在游历四方。	He pasted picture postcard around goldfish bowl to make the goldfish think they were going place.
忙于	这位女秘书一心mang2yu2勾引新来的经理，简直未觉察到办公室里人人都在暗中笑她。	The secretary was so busy getting her hooks into the new manager, that she hardly noticed that everyone in the office was laughing at her.
油画	那是一幅描绘春天景色的you2hua4。	That is an oil painting of a landscape in spring.
夺得	duo2de2金牌是她又一值得骄傲的成就.	Winning the gold medal was yet another feather in her cap.
查明	我们迟早会cha2ming2事实真相。	We shall find out the truth early or late.
嗜好	甜食是我唯一的shi4hao4。	Sweets are my only indulgence.
流出	水源，泉水从地下liu2chu1的地方；泉或喷泉	A place where water issues from the earth; a spring or fountain.
摆放	在离开办公室之前, 应把所有物品bai3fang4好。	Before you leave the office, everything should be put in place.
烧毁	在火灾中，好些房子给shao1hui3了。	A number of houses were burnt down in the fire.
潜艇	这艘船是被一艘核qian2ting3击沉的。	The ship was sunk by an atomic submarine.
发言人	他是国务院的fa1yan2ren2。	He is the spokesman of the council.
海浪	hai3lang4轻轻地拍打着海岸。	The waves gently lap against the shore.
处罚	他受到的chu3fa2是罪有应得。	He richly deserved the punishment he received.
欺诈	他用光明正大的方法得不到的东西, 就采取卑鄙的qi1zha4手段.	When he couldn't get what he wanted openly and honestly, he resorted to low cunning.
小巷	为避开跟踪的人，我迅速跑进一条xiao3xiang4。	In order to avoid the man following me, I shot into a lane.
王妃	她泰然自若地履行wang2fei1的职责.	She performs the duties of a princess with great aplomb.
光泽	时装杂志看起来很有guang1ze2。	Fashion magazines are glossy.
何以	医生无法解释高烧he2yi3持久不退。	The doctor couldn't explain the persistence of the fever.
阶级	假使剥去了人们的衣服的话，到底彼此的jie1ji2能够维持到什么程度，倒是一则有趣的问题。	It is an interesting question how far men will retain their relative rank if they were divest of their clothes.
显现	花朵在阳光下清晰地xian3xian4出轮廓。	The flower was clearly outlined in the light of the lamp.
敬意	他向我请教那件事以表示对我的jing4yi4。	He paid me the compliment of consulting me about the affair.
医药	难民苦於缺少食物和yi1yao4用品.	The refugees are suffering for want of food and medical supplies.
树木	黑檀树是一种黑色而坚硬的shu4mu4。	Ebony is a hard black wood.
总经理	zong3jing1li3由董事会任命。	The president is appointed by the board of directors.
瘟疫	人们心中的恐惧像wen1yi4一样蔓延开来。	Fear spread through the crowd like a contagion.
相连	由控制装置（群集控制器）和与它xiang1lian2的终端组成的一种站。	A station that consists of a control unit(cluster controller) and the terminals attached to it.
熊熊	消防队到达时, 整座建筑物正在xiong2xiong2燃烧著.	When the firemen arrived the whole building was blazing.
另一方面	他一方面受到批评，ling4yi1fang1mian4却受到鼓励。	He has been criticized on one hand and encouraged on the other.
聋	他long2成这个样子，究竟是怎样从事作曲的呢？	However does he manage to write music when he is so deaf?
琐事	别为这些suo3shi4生气。	Don't be angry over such trivial matters.
路面	吉普车很适合在高低不平的lu4mian4上行驶.	A jeep is ideal for driving over rough terrain.
往来	wang3lai2交往个人或群体间的交往或交际	Dealings or communications between persons or groups.
还给	根据我们的记录，你借的书现在应该huan2gei3图书馆了。	According to our records, the books you have borrowed should now be returned to the library.
连续剧	英国广播公司在播放那部电视lian2xu4ju4以後，即将出版一部有关的书。	As a follow-up to the television series the BBC is publishing a book.
修饰	引出推论的表达推论的或置于推论前面的，用来xiu1shi4词语	Expressing or preceding an inference. Used of a word.
坏处	她是那些老是把困难往最huai4chu5想的女人之一。	She is one of those women who always make the worst of their troubles.
步枪	一枝bu4qiang1瞄准著人质的头.	The hostage had a rifle levelled at his head.
填写	把你的名字tian2xie3在每页上端的括号内。	Put your name in brackets at the top of each page.
紧身	现在的妇女不再穿jin3shen1衣了。	Women don't wear corset nowadays.
两边	他把派克大衣兜帽liang3bian1都绑得紧紧的来挡住雪。	He held both sides of the parka hood closed against the snow.
斑点	他脸上有许多难看的红色大ban1dian3.	His face was covered in ugly red blotches.
臭味	你闻到发霉烟草的chou4wei4了吗？	Do you smell the reek of stale tobacco?
乞求	不值得我去qi3qiu2	It was beneath me to beg.
动不动	不要dong4bu5dong4就挑毛病.	Don't be so ready to find fault.
热衷	他早年所受的教养使他re4zhong1於冒险活动.	His early training predisposed him to a life of adventure.
动用	政府需dong4yong4更多经费重建旧城区.	More government money needs to go into rebuilding the inner cities.
贵宾	这些座位是留给gui4bin1的.	These seats are reserved for special guests.
平稳	大浪过後, 船又ping2wen3了.	The ship righted itself after the big wave had passed.
山区	驶经shan1qu1的公共汽车遭到匪徒袭击.	Buses driving through the mountains have been attacked by bandits.
高原	抛杆赛苏格兰gao1yuan2上的一种竞赛，将一根又长又重的木杆一端接一端地抛掷，从而表现出力量	A long, heavy wooden pole tossed end over end as a demonstration of strength in Scottish highland games.
外观	这座建筑的wai4guan1像监狱.	The building was like a prison in appearance.
享有	该诗仍然xiang3you3版权, 因此你必须支付引用费.	The poem is still under copyright, so you have to pay to quote it.
往日	wang3ri4激情将熄的余烬仍可从他的文章中看出来。	The dying embers of a former passion can still be seen in his article.
疤痕	这伤口能留下ba1hen2吗?	Will the cut leave a scar?
抵御	他竖起大衣领di3yu4寒风.	He turned up his coat collar against the chill wind.
追赶	我因为zhui1gan3公共汽车，弄得上气不接下气。	I was out of breath after running for the bus.
小号	他用xiao3hao4吹奏了一首曲子。	He played a tune on his trumpet.
门前	队伍就在我家men2 qian2经过.	The procession passed right by my front door.
比利时	Bi3li4shi2被称作欧洲战场。	Belgium has been called the cockpit of Europe.
伴奏	他演唱由钢琴ban4zou4.	He sang to a piano accompaniment.
忠于	士兵们zhong1yu2他们的国家。	The soldiers are loyal to their country.
珊瑚	巴布亚湾shan1hu2海的一个位于新几内亚东南岸的大海湾	A large inlet of the Coral Sea on the southeast coast of New Guinea.
音乐家	这些yin1yue4jia1作了一场绝对完美的演出。	These musicians gave an absolutely faultless performance.
十九	由于南部某些州于shi2jiu3世纪六十年代脱离美国而导致了南北战争。	The secession of some southern states from the USA in the 1860s led to the civil war.
化合物	五氧化物由五个氧原子和其它元素或基组成的hua4he2wu4	A compound having five atoms of oxygen combined with another element or radical.
防卫	一旦迈克采取了fang2wei4态度，就很难使他相信没有什么可怕的。	Once Mike's taken up a defensive attitude, it's difficult to persuade him that's nothing to be afraid of.
微波	在wei1bo1系统中，来自各处的分散的输入必须被汇集在一起，以形成一个综合的输入，然后由无线电发送和接收。	In microwave system the separate input from various sources must be brought together to give a composite input which is then transmitted and received by radio.
电车	汽车和dian4che1塞满了整条街。	Cars and trolleys filled the streets.
暴风	bao4feng1给成千上万的人带来灾难。	The cyclone brought misery to thousands of people.
旱	久han4使很多人陷入饥饿。	The long drought famished many people.
高血压	抗gao1xue4ya1的减轻或控制gao1xue4ya1的	Reducing or controlling high blood pressure.
时钟	我决不能饶恕查理曼大帝之将shi2zhong1引进西方文明这一件事情。	I can never forgive Charlemagne for introducing clocks into Western civilization.
限度	他赛前量体重比规定xian4du4少几磅。	He weighed in at several pounds below the limit.
悬赏	她应该在附近贴几张寻找狗狗的xuan2shang3公告。	She should post rewards around the neighborhood for finding it.
芭蕾舞	这个ba1lei3wu3女演员的每一个动作都很优美。	All the moves of the ballerina were graceful.
抬起	tai2qi3这只沉重的箱子要花费相当大的力气。	It's quite an effort to lift this heavy box.
超速	她因chao1su4开车而被罚款。	She was fined for driving above the regulation speed.
飞快	fei1kuai4地；迅速地	At a rapid pace; swiftly.
应对	凡是飞机驾驶员均ying4dui4乘客的安全负责.	All pilots are responsible for their passengers' safety.
酒馆	我完全赞成jiu3guan3整日营业.	I'm all for pubs being open all day.
盲人	我帮助那个mang2ren2过去了.	I helped the blind man across.
派出	总统pai4chu1他的高级助手去组织安排对立派别之间的和平谈判。	The president has sent his top aide to master-mind peace negotiations between the opposing factions.
棍	他一再挥gun4向我打来.	He struck at me repeatedly with a stick.
西边	要是太阳从xi1bian5出来，他就会通过考试－－他不可能通过考试。	If the sun were to rise in the west, he would pass the exam.
电流	这个电钮接通dian4liu2。	This button switches the current on.
积蓄	遇有急用时, 我们只好动用ji1xu4.	If it comes to the push, we shall have to use our savings.
异议	他决不允许有yi4yi4。	He will permit no contradiction.
一带	一种尚未搞清的病虫害突然侵袭了这yi1dai4的庄稼。	An unknown disease suddenly attacked the crops in this area.
哀悼	人们戴着黑纱ai1dao4我们的领导。	People wore crapes to mourn our leader.
满脸	我问起他那新女友, 他就man3lian3通红.	He went as red as a beetroot when I asked about his new girl-friend.
分娩	现在fen1mian3时常用硬膜外注射.	Epidurals are now often used during childbirth.
好象	对不起，对方的电话hao3xiang4坏了。	I'm sorry, caller, their telephone seems to be broken.
人均	去岁ren2jun1收入剧增.	Per capita incomes rose sharply last year.
低下	他因羞愧而di1xia4了头。	He because of bashful but low head.
问道	｀那麽你是怎麽知道那件事的呢?＇他插嘴wen4dao4.	`But how do you know that?' he interposed.
得体	他的拒绝是那样委婉de2ti3，所以我们并未感到不快。	His refusal was worded in such a graceful way that we could not be offended.
九月	炎热的天气持续到jiu3yue4。	The hot weather lasted until September.
取胜	他们以为能在选举中轻易qu3sheng4, 但事情往往会功败垂成.	They think they'll win the election easily, but there's many a slip 'twixt cup and lip.
艾滋病	我今天要讲的是我们社会面临的一大危害，就是ai4zi1bing4。	I want to talk today about a major threat facing our society, namely AIDS.
乐于	如果能开发出新产品，我们将le4yu2引进先进技术。	If new product can be developed, we'll be very glad to import advanced technology.
水流	shui3liu2经水闸时十分湍急.	Water went rushing through the lock gates.
爱因斯坦	Ai4yin1si1tan3是个伟大的科学天才。	Einstein was a great scientific genius.
近视	我要是不戴眼镜十分jin4shi4。	I'm very near-sighted without my glasses on.
教书	要不然他还会在jiao1shu1，因为他的心仍然在课堂上和他的学生们在一起。	Otherwise he would still be teaching, because his heart and soul were still in the classroom with his students.
问答	教义wen4da2法常用于宗教教学。	The catechism is used for religious instruction.
尾声	当男主角策马向夕阳驰去时，wei3sheng1音乐逐渐消失。	The closing music fades out when the hero rides off into the sunset.
古人	gu3ren2认为勇敢是美德的主要成分。	The ancients counted courage as the main part of virtue.
兵力	分散bing1li4是导致失败的原因。	Dispersion of forces led up to the defeat.
飞奔	摔下来的骑手遭fei1ben1马群践踏.	Fallen riders were trampled underfoot by the charging horses.
为生	鸬鹚是一种长脖子黑颜色的大鸟，生活在海滨而且以吃鱼wei2sheng1。	The cormorant is a large, long-necked, dark-colored bird which lives near sea coasts and eats fish.
牢记	我试着把那个日期lao2ji4在心。	I tried to fix the date in my mind.
接纳	资方有权拒绝jie1na4.	The management reserves the right to refuse admission.
必需品	＂房间里只布置了最简单的bi4xu1pin3，一张床、一把椅子和一张桌子。＂	The room was furnished with the simplest essentials, a bed, a chair, and a table.""
洁白	她jie2bai2的脸和她黑色的衣服形成强烈的对比。	Her white face and her dark dress contrast sharply.
溜冰	这些女孩在liu1bing1，而这些男孩在观看。	The girls are skating and the boys (are) watching.
辛辛苦苦	玛丽xin1xin1ku3ku3把约翰的房间打扫干净，不料她所得到的却是一番侮辱。	Mary worked hard to clean up John's room, but all she got for her trouble was a kick in the teeth.
豌豆	这种wan1dou4长着长豆荚。	This kind of pea has a long pod.
粗暴	他们对她的外表横加cu1bao4的评论。	They made rude remarks about her appearance.
留心	我跟你说话的时候, 你要liu2xin1听!	Pay attention when I'm talking to you!
为人	她wei2ren2厚道、慷慨大方，倒也弥补了她偶尔发点儿脾气。	Her kindness and generosity cancel out her occasional flashes of temper.
升高	这样，这架飞机才能sheng1gao1，并在距山头四百英尺的高度飞越山顶。	The plane was then able to rise and it cleared the mountains by400 feet.
心软	看到这个小女孩哭起来，他的xin1ruan3了。	His heart melted when he saw the little girl crying.
弄到	我nong4dao4两张优胜杯决赛的票.	I've got two tickets for the Cup Final.
鲁莽	他们lu3mang3仓促地采取了行动。	They acted with precipitate haste.
判断力	政治家不应该参与那些可能会影响其政治pan4duan4li4的商业事务。	Politicians should not engage in business affairs that might affect their political judgement.
外汇	你们接受wai4hui4券兑换券吗？	Do you accept foreign exchange certificate?
一片	所有的灯都熄了, 周围yi1 pian4黑暗.	All the lights went out and we were left in the dark.
选民	由于天气恶劣，许多xuan3min2今天没有投票。	Many electors didn't vote today because of the bad weather.
指头	她喝茶时弯起小zhi3tou5。	She crooked her little finger as she drank her tea.
喝醉	使醉的he1zui4了的，被麻醉品例如可卡因或大麻麻醉了的	Intoxicated by or as if by alcohol or a drug, such as cocaine or marijuana.
跑道	飞机在pao3dao4上滑行.	The plane taxied/was taxiing along the runway.
歌星	那位流行歌曲ge1xing1周围蜂拥著许多歌迷。	The pop star was followed by a train of admirers.
氧	水含有氢和yang3。	Water contains hydrogen and oxygen.
用完	我们在高速公路上行驶时汽油yong4wan2了.	We ran out of juice on the motorway.
工艺	陶瓷学制作陶瓷物品的gong1yi4或技术，尤指用耐火粘土制	The art or technique of making objects of ceramic, especially from fired clay.
在座	我现在讲的话，我相信也是zai4zuo4许多同志的想法。	In what I am saying now I believe I speak also for many others present at this meeting.
贵重	您可以将您的gui4zhong4物品放在旅馆的保险柜里。	You may deposit your valuables in the hotel safe.
再也	我突然意识到可能zai4 ye3见不着她了。	I was struck by the sudden realization that I would probably never see her again.
羽绒	我女儿请求我给她买一个yu3rong2枕头。	My daughter asked me to buy her a pillow stuffed with feathers.
到期	租金已dao4qi1, 你的支票来到真是喜从天降!	The rent was due, so your cheque came as an absolute godsend!
笔迹	我怎麽也看不明白你的bi3ji4.	I can never read your writing.
琼	qiong2自从获得了第一游泳证书后非常骄傲，瞧不起人。	June is as proud as a peacock after winning her first swimming certificate.
争斗	党羽的政治阴谋经常是良好政府的妨碍。公务上的政治zheng1dou4经常是带削弱性质和招致反效果的	Partisan politics is often an obstruction to good government. Office politics are often debilitating and counterproductive.
底片	＂用那张di3pian4，你要我们印几张像片？＂	How many copies do you ask us to print off from the negative?
奋力	工程师fen4li4进行修桥工作.	The engineers set to on repair work to the bridge.
音符	八分yin1fu2、四分yin1fu2和二分yin1fu2在乐谱上是不同长度的三个yin1fu2。	Quavers, crotchets and minims are three of the different lengths of note in written music.
布满	那老人的脸上bu4man3皱纹和褶子.	The old man's face was covered in lines and wrinkles.
捉弄	这些男孩zhuo1nong4那位老人真是残忍。	It is very cruel of these boys to make a fool of that old man.
掘	我们正在jue2地探矿.	We are digging for mineral deposits.
早已	我一点也没有吃惊，因为我zao3yi3料到会有那样的事。	I was not in the least surprised, for I had expected as much.
捣蛋	母亲把她那顽皮dao3dan4的儿子按在膝盖上揍他。	The mother set her naughty son over her knee and beat him.
职工	经理企图以解雇来威胁，迫使zhi2gong1更卖力气。	The manager tried to bully his men into working harder by threatening them with dismissal.
缩写	在书写时, Doctor头衔的suo1xie3是Dr.	In writing, the title `Doctor' is abbreviated to `Dr'.
色调	这个房间是用红色和棕色装饰的暖se4diao4。	The room was furnished in warm reds and browns.
中性	无色的无色的，因零饱和度而没有颜色，如zhong1xing4灰色，白色，或黑色	Designating color perceived to have zero saturation and therefore no hue, such as neutral grays, white, or black.
残骸	那架飞机的can2hai2散布范围很大.	Wreckage of the aircraft was scattered over a wide area.
出世	他们大多数人是解放战争期间chu1shi4的。	Most of them came into the world during the War of Liberation.
关押	在一出极为成功的演出中，一位著名演员有一次被选派扮演一名贵族。这位贵族被guan1ya1在巴士底狱已20年了。	A famous actor in a highly successful play was once cast in the role of an aristocrat who had been imprisoned in the Bastille for twenty years.
胶片	音轨一独立的轨道，如沿着一段jiao1pian4或磁带的，可将声音或其它信息记录在上面	A distinct path, as along a length of film or magnetic tape, on which sound or other information is recorded.
订购	他们向我们ding4gou4了三架新飞机.	They have placed an order with us for three new aircraft.
灯火	那座宫殿deng1huo3辉煌.	The palace was ablaze with lights.
灯塔	多佛尔与法国加莱市隔岸相对的英格兰东南部自治市，临多佛尔海峡。罗马deng1ta3遗址，自中世纪以来就是战略要地，该市白垩崖多岩洞和涵洞原为走私者所用。人口33，700	A municipal borough of southeast England on the Strait of Dover opposite Calais, France. Site of a Roman lighthouse, it has been a strategic port since medieval times. The chalk cliffs rising above the city have caves and tunnels originally used by smugglers. Population, 33,700.
密集	mi4ji2的迫击炮火力从这些阵地射向由山谷那边上来的援军。	From these positions mortar fire was rained down upon reinforcements moving up through the valley.
马铃薯	今年ma3ling2shu3丰收。	The tomatoes have cropped well this year.
想出	他xiang3chu1了一个极好的主意。	He worked out an excellent idea.
特写	这张照片是人眼的te4xie3。	This picture is a closeness of the human eye.
新奇	我们在晚会上要装扮得像电影中的角色，这是一个多么xin1qi2的主意啊！	We are supposed to dress up as movie characters for the party, what a novel idea!
高空	要射中飞行中的小鸟，尤其是gao1kong1飞行的小鸟，非常困难。	It is difficult to shoot a flying bird, especially a small bird flying high up in the sky.
四分之一	si4 fen1zhi1 yi1是一个真分数。	One forth is a proper fraction.
藤	他用teng2杖抽断了荨麻的顶部.	He swished off the tops of the nettles with his cane.
变换	你最好bian4huan4一下饮食，不要总吃同样的东西。	It's better to vary your diet rather than eat the same things all the time.
戏剧性	国际政治的xi4ju4xing4使她深感兴趣。	The drama of international politics interested her.
终端	在分时系统中，zhong1duan1和其它设备进行一次数据交换，从而完成一个特定的动作或产生一个特定的结果。例如，输入客户的存款金额并修改客户的余额。	In systems with time sharing, an exchange between a terminal and another device that accomplishes a particular action or result; for example, the entry of a customer's deposit and the updating of the customer's balance.
酒杯	他向高脚jiu3bei1里倒了一些葡萄酒。	He poured some wine into the goblet.
暗中	他在黑an4zhong1只能勉强辨认出道路。	He was just able to discern the road from the dark.
平息	一会儿工夫骚动ping2xi1了下来。	Presently the tumult died down.
中餐	好主意。我们或者吃汉堡包或者吃zhong1can1。你更喜欢哪一样？	Great idea. Let's have either hamburgers or Chinese food. What's your preference?
先后	临近终点时，那几匹马齐头并进，简直分不出xian1-hou4。	As the horses raced towards the finishing post, there was nothing in it.
敬佩	我得说我对他真是jing4pei4--我从未想到他能参加甲队.	I must say I take my hat off to him I neverthought he would get into the first team.
折叠	我们发现可zhe2die2的桌子使用非常方便。	We find our folding table a great convenience.
面向	卧室的窗户mian4xiang4街道.	The bedroom windows give on to the street.
住宿	这旅馆可供达500位来宾zhu4su4.	This hotel can accommodate up to 500 guests.
差错	哪怕是出了再小的cha1cuo4，老板也会对他横加斥责。	His boss will jump on every little mistake he makes, no matter how trivial.
一举一动	那男子yi1ju3-yi1dong4像个大男孩。	That man behaves like an overgrown child.
延缓	手术不能yan2huan3。	The operation cannot wait.
暗号	她对我发出靠近她的an4hao4。	She made a sign for me to approach her.
刺客	ci4ke4因某种政治原因杀了那个知名人士。	The assassin killed the famous person for political reasons.
上山	那些奴隶艰难地把沉重的石块拖shang4shan1。	The slaves toiled up the hill pulling the heavy blocks.
波斯	瓦莱里安罗马皇帝（253－260年），在他的统治时期充满了军事或财政困难，他于260年被Bo1si1武装力量击败并在被俘期间死去	Emperor of Rome(253-260) whose reign was marked by military and financial troubles. He was defeated by Persian forces(260) and died in captivity.
钻进	那个贼偷偷zuan1jin4黑胡同里.	The thief slunk down the dark alley.
瑕疵	他在品德[名誉]上毫无xia2ci1.	His character/reputation is without (a) blemish.
半岛	阿克巴湾红海的一个海湾，在西奈ban4dao3及沙特阿拉伯西北部之间。它长期以来在中东具有重要的战略性	An arm of the Red Sea between the Sinai Peninsula and northwest Saudi Arabia. It has long been of strategic importance in the Middle East.
肆意	si4yi4地作出粗暴的行为；纵情享受最新时尚	Indulged in outrageous behavior; indulged in all the latest fads.
当众	在许多国家, dang1zhong4吐痰属不雅行为.	In many countries it is considered rude to spit in public.
课本	这是这一科的权威性ke4ben3.	This is the standard textbook on the subject.
一对	快点吧, 你们这yi1 dui4恩爱情侣!	Come along, you two love-birds!
旁观者	把pang2guan1zhe3牵扯进他与警察的争执	Involved the bystanders in his dispute with the police.
生成	酸与碱反应sheng1cheng2盐。	Acids react with bases to form salts.
失调	当前的贸易赤字表明我们的进出口贸易严重shi1tiao2.	The current trade deficit indicates a serious imbalance between our import and export trade.
人马	厨师们在大队ren2ma3之前到了野地营地。	The cooks arrive on camp in advance of the main party.
更改	这位部长在她的讲话中表示不同意对现行法律作任何geng1gai3。	In her speech, the Minister came out against any change to the existing law.
选美	赞成举办xuan3mei3的是年轻人。	It is young people who favor holding beauty pageants.
教皇	jiao4huang2向人群祝福.	The Pope blessed the crowd.
水下	这机器是为shui3xia4使用而特别改装的。	This machine has been specially adapted for underwater use.
叉	他用cha1子cha1肉.	He stabbed the meat with his fork/stabbed his fork into the meat.
太阳能	科学家正在设想一种新的利用tai4yang2neng2的方法。	The scientist is thinking of a new way of tapping the solar energy.
主食	面包、土豆及其他zhu3shi2的价格继续上涨。	Bread, potato and other staple continue to rise in price.
侵蚀	海水渐渐地qin1shi2了陆地。	The sea is gradually encroaching on the land.
攀	那小队pan1登山的北坡.	The team climbed the north face of the mountain.
煤	mei2和铁都是矿物.	Coal and iron are minerals.
拘捕	这些犹太人生活在会遭到ju1bu3的恐惧之中。	The Jews lived in dread of being caught.
激起	他的话ji1qi3了我的仇恨。	His words stirred up my hatred.
褐色	这只小动物有一双淡he4se4的眼睛。	This small animal has a pair of hazel eyes.
加以	该函已退给（我方）要求对某问题jia1yi3解释.	The letter was referred back (to us) with a query.
壁炉	她只有坐在bi4lu2前才感觉到暖和。	She felt warm only when she sat before the fireplace.
无理	律师对那个要求提出异议，并力图证明它是一种wu2li3的要求。	The lawyer contested the claim, and tried to prove that it was false.
拔掉	我不敢把比尔放到花园去－－他会把花全都ba2diao4的。	I daren't let Bill loose on the garden he'd pull up all the flowers.
晚报	在wan3bao4的一则广告里，他促请大家注意他新进的货物。	In an advertisement in the evening paper, he calls public attention to his new stock of goods.
静止	一种正在执行中的程序，是一种活着的实体，能引起事件的发生；而程序是被动的，处于jing4zhi3状态。	A program in execution, a process is an active entity, which can cause things to occur, as opposed to a program, which is a passive entity.
找出	政府还没有zhao3chu1对付失业的有效措施。	The government hasn't worked out the effectual measures to combat unemployment.
控诉	神判法让被kong4su4的人接受痛苦或危险的考验的一种审判方法，结果被视为神对其是否有罪或清白的审定	A method of trial in which the accused was subjected to physically painful or dangerous tests, the result being regarded as a divine judgment of guilt or innocence.
多次	那问题我向他解释duo1ci4, 他似无所悟.	I explained the problem to him several times but it didn't seem to penetrate.
即兴	弹钢琴的人把乐谱忘了, 只好ji2xing4伴奏.	The pianist forgot his music and had to improvise (the accompaniment).
满月	昨晚是man3yue4。	Last night there was a full moon.
墨水	小男孩的手指让mo4shui3给染脏了。	The little boy stained his fingers with ink.
房门	我打开fang2men2，然后走进屋里。	I unlocked the door and went into the room.
天平	常把蒙著眼睛手持tian1ping2的女人当作正义的象徵.	Justice is often personified as a blindfolded woman holding a pair of scales.
尘土	桌子上有一层薄薄的chen2tu3。	There is a fine layer of dust on the desk.
正要	我zheng4yao4找你。	Just the man I was looking for.
航线	飞机更改了hang2xian4.	The plane altered course.
失礼	在葬礼上发笑或开玩笑是shi1li3的行为。	Laughing and joking are considered improper behaviors at a funeral.
联欢会	在年终lian2huan1hui4季节，晚上是几乎不可能叫到计程车的。	It's next to impossible to catch a taxi at night during the year- end party season.
容量	这库房的rong2liang4是400立方英尺。	The store- room be400 cubic feet in volume.
质问	律师的生意是：zhi4wen4一切事情、得不出任何结果、而按钟点收费说话。	It is the trade of lawyers to question everything, yield nothing, and to talk by the hour.
晚年	她wan3nian2专事写作.	In her later years she gave herself over to writing full-time.
绳索	下雨前，请将帐篷的sheng2suo3放松。	Please slacken the tent rope before it rains.
来看	他们两人是在同一天lai2 kan4我的。	They came to see me on the self-same day.
变动	时间表bian4dong4得如此频繁, 似乎没有什麽道理.	It seems illogical to change the timetable so often.
探测器	热tan4ce4qi4测量热量的敏感接受器	A sensory receptor that detects warmth.
耗尽	他们不停地射击, hao4jin4了所有的弹药.	They went on firing until they had spent all their ammunition.
毛发	护士给病人清洗皮肤、 刮去mao2fa4.	The nurse washed and shaved the patient.
交替	四季循环jiao1ti4。	The seasons follow each other in rotation.
运动会	yun4dong4hui4持续多少天，你知道吗？	How many days, can you guess, did the sports meeting last?
通风	tong1feng1设备出故障了。	The ventilation isn't working.
脑筋	做纵横字谜游戏能锻炼nao3jin1.	Doing crosswords gives the mind some exercise.
醉酒	他因zui4jiu3开车被罚款。	He was fined for driving while intoxicated.
自尊心	这严重地伤害了她的zi4zun1xin1。	It was a severe hurt to her pride.
宇航员	yu3hang2yuan2有特殊的呼吸装置。	The astronauts have special breathing apparatus.
沉溺	正如铁锈会腐蚀铁一样，chen2ni4资产阶级生活方式会消磨掉一个人的革命意志。	Just as rust eats away iron, indulgence in bourgeois ways of life may eat away one's revolutionary will.
重力	zhong4li4天体如地球，所施加的自然吸引力，如地球，对处于或接近其表面的物体有将它们拉向其中心的趋势	The natural force of attraction exerted by a celestial body, such as Earth, upon objects at or near its surface, tending to draw them toward the center of the body.
锁门	你走时别忘了suo3men2。	Don't neglect to lock the door when you leave.
增进	锻炼可zeng1jin4健康。	Exercise promotes health.
副本	原稿已失, 这是fu4ben3.	The original manuscript has been lost; this is a copy.
大队	da4dui4花了６０００元钱买了一台磨面机。	The brigade bought a flour-milling machine for6000 yuan.
